List of countries by real GDP growth rate


# List of countries by real GDP growth rate



This article includes lists of countries and dependent territories sorted by their real gross domestic product growth rate; the rate of growth of the total value of all final goods and services produced within a state in a given year compared with the previous year. The figures are from the International Monetary Fund (IMF) World Economic Outlook Database, unless otherwise specified.

This list is not to be confused with the list of countries by real GDP per capita growth, which is the percentage change of GDP per person taking into account the changing population of the country. List of countries by GNI per capita growth measures changes in gross national income per capita.


## List (2024)

As referenced in the introductory paragraph, the figures in the following list are from the International Monetary Fund World Economic Outlook Database (2024) unless otherwise specified.


### Growth by countries and regions

| Country | Rate [%] |
| Nicaragua | 4.927 | 4.785 | 4.792 | 4.563 | 4.631 | −3.363 | −2.897 | −1.766 | 10.347 | 3.751 | 4.686 | 3.132 |
| Niger | 5.311 | 6.644 | 4.393 | 5.741 | 5.001 | 7.007 | 6.143 | 3.550 | 1.399 | 11.904 | 1.409 | 5.318 |
| Nigeria | 5.394 | 6.310 | 2.653 | −1.617 | 0.806 | 1.923 | 2.208 | −1.794 | 3.647 | 3.252 | 2.860 | 2.331 |
| North Macedonia | 2.925 | 3.629 | 3.856 | 2.848 | 1.082 | 2.881 | 3.910 | −4.688 | 4.511 | 2.221 | 1.027 | 2.200 |
| Norway | 1.016 | 2.048 | 1.857 | 1.165 | 2.464 | 0.829 | 1.124 | −1.278 | 3.909 | 3.006 | 0.514 | 1.514 |
| Oman | 5.227 | 1.292 | 5.017 | 5.046 | 0.304 | 1.287 | −1.130 | −3.378 | 3.092 | 4.311 | 1.311 | 2.034 |
| Pakistan | 3.856 | 3.556 | 3.812 | 4.072 | 4.609 | 6.096 | 3.120 | −0.943 | 5.770 | 6.169 | −0.166 | 3.632 |
| Palau | −1.612 | 4.435 | 9.549 | 1.507 | −3.514 | 1.261 | 1.357 | −7.040 | −13.362 | −1.964 | 0.800 | −0.780 |
| Panama | 6.903 | 5.067 | 5.733 | 4.953 | 5.591 | 3.685 | 3.282 | −17.668 | 15.836 | 10.809 | 7.317 | 4.683 |
| Papua New Guinea | 3.825 | 13.544 | 6.576 | 5.492 | 3.535 | −0.279 | 4.480 | −3.167 | −0.780 | 5.165 | 2.681 | 3.734 |
| Paraguay | 8.293 | 5.301 | 2.957 | 4.268 | 4.810 | 3.204 | −0.402 | −0.820 | 4.017 | 0.176 | 4.477 | 3.298 |
| Peru | 5.852 | 2.384 | 3.252 | 3.954 | 2.522 | 3.970 | 2.240 | −10.869 | 13.418 | 2.684 | −0.552 | 2.623 |
| Philippines | 6.751 | 6.348 | 6.348 | 7.149 | 6.931 | 6.341 | 6.119 | −9.518 | 5.715 | 7.570 | 5.568 | 5.029 |
| Poland | 0.857 | 3.837 | 4.383 | 2.954 | 5.140 | 5.945 | 4.450 | −2.020 | 6.935 | 5.260 | 0.160 | 3.446 |
| Portugal | −0.923 | 0.792 | 1.792 | 2.019 | 3.506 | 2.849 | 2.683 | −8.301 | 5.737 | 6.828 | 2.280 | 1.751 |
| Puerto Rico | −0.307 | −1.190 | −1.049 | −1.263 | −2.886 | −4.364 | 1.679 | −4.186 | 0.412 | 3.207 | −0.700 | −0.968 |
| Qatar | 5.556 | 5.334 | 4.753 | 3.064 | −1.498 | 1.235 | 0.688 | −3.558 | 1.627 | 4.200 | 1.558 | 2.087 |
| Romania | 0.270 | 4.121 | 3.160 | 2.858 | 8.197 | 6.029 | 3.853 | −3.677 | 5.709 | 4.595 | 2.110 | 3.384 |
| Russia | 1.755 | 0.736 | −1.973 | 0.194 | 1.827 | 2.806 | 2.198 | −2.654 | 5.988 | −1.201 | 3.585 | 1.206 |
| Rwanda | 4.730 | 6.154 | 8.867 | 5.969 | 3.931 | 8.539 | 9.472 | −3.380 | 10.880 | 8.158 | 6.949 | 6.388 |
| Samoa | 0.107 | 0.660 | 3.850 | 7.984 | 1.406 | −0.610 | 4.453 | −3.108 | −7.077 | −5.308 | 7.990 | 0.941 |
| San Marino | −0.820 | −0.649 | 2.691 | 2.338 | 0.254 | 1.484 | 2.032 | −6.812 | 14.228 | 5.037 | 2.304 | 2.008 |
| São Tomé and Príncipe | 5.120 | 4.906 | 1.540 | 5.177 | 4.113 | 4.378 | 2.014 | 2.625 | 1.899 | 0.065 | −0.300 | 2.867 |
| Saudi Arabia | 2.535 | 3.811 | 4.509 | 1.885 | 0.911 | 3.199 | 1.098 | −3.582 | 5.075 | 7.486 | −0.755 | 2.379 |
| Senegal | 2.412 | 6.224 | 6.367 | 6.356 | 7.407 | 6.209 | 4.614 | 1.342 | 6.540 | 4.000 | 4.102 | 5.052 |
| Serbia | 2.893 | −1.590 | 1.806 | 3.339 | 2.101 | 4.495 | 4.332 | −0.903 | 7.726 | 2.550 | 2.528 | 2.662 |
| Seychelles | 6.403 | 4.717 | 8.913 | 12.118 | 6.957 | 4.937 | 5.513 | −11.741 | 0.554 | 14.978 | 3.679 | 5.184 |
| Sierra Leone | 20.720 | 4.555 | −20.493 | 6.354 | 3.765 | 3.465 | 5.254 | −1.969 | 4.105 | 3.458 | 3.392 | 2.964 |
| Singapore | 4.818 | 3.936 | 2.977 | 3.589 | 4.513 | 3.517 | 1.345 | −3.870 | 9.691 | 3.838 | 1.075 | 3.221 |
| Slovak Republic | 0.633 | 2.697 | 5.176 | 1.944 | 2.938 | 4.030 | 2.511 | −3.335 | 4.789 | 1.750 | 1.150 | 2.207 |
| Slovenia | −1.029 | 2.768 | 2.210 | 3.192 | 4.816 | 4.455 | 3.523 | −4.241 | 8.229 | 2.461 | 1.587 | 2.543 |
| Solomon Islands | 5.237 | 1.186 | 1.678 | 5.556 | 3.077 | 2.745 | 1.749 | −3.383 | 2.564 | 2.403 | 2.950 | 2.342 |
| Somalia | 5.655 | 2.774 | 4.589 | −1.275 | 9.500 | 2.994 | 3.627 | −2.560 | 3.308 | 2.433 | 2.800 | 3.074 |
| South Africa | 2.485 | 1.414 | 1.322 | 0.665 | 1.158 | 1.557 | 0.260 | −5.963 | 4.703 | 1.910 | 0.602 | 0.919 |
| South Sudan | 27.272 | 1.556 | −0.231 | −13.299 | −5.794 | −2.149 | 0.856 | −6.494 | 5.329 | −5.186 | −0.070 | 0.163 |
| Spain | −1.401 | 1.398 | 3.837 | 3.038 | 2.977 | 2.283 | 1.983 | −11.165 | 6.400 | 5.771 | 2.501 | 1.602 |
| Sri Lanka | 4.052 | 6.378 | 4.206 | 5.054 | 6.461 | 2.310 | −0.220 | −4.625 | 3.512 | −7.824 | n/a | 1.930 |
| St. Kitts and Nevis | 5.706 | 7.587 | 0.717 | 3.910 | 0.017 | 2.053 | 4.050 | −14.561 | −0.891 | 8.823 | 3.450 | 1.896 |
| St. Lucia | −2.222 | 1.303 | −0.240 | 3.805 | 3.379 | 2.861 | −0.200 | −23.586 | 11.315 | 15.674 | 3.023 | 1.374 |
| St. Vincent and the Grenadines | 2.462 | 1.146 | 2.785 | 4.150 | 1.548 | 3.175 | 0.662 | −3.739 | 0.745 | 5.500 | 6.230 | 2.243 |
| Sudan | 1.955 | 4.661 | 4.906 | 4.700 | 0.768 | −2.290 | −2.500 | −3.630 | 0.500 | −2.500 | −18.300 | −1.066 |
| Suriname | 2.931 | 0.254 | −3.414 | −4.912 | 1.566 | 4.948 | 1.168 | −15.975 | −2.435 | 2.434 | 2.142 | −1.026 |
| Sweden | 1.188 | 2.658 | 4.489 | 2.071 | 2.568 | 1.950 | 1.986 | −2.170 | 6.147 | 2.663 | −0.196 | 2.123 |
| Switzerland | 1.836 | 2.319 | 1.582 | 2.085 | 1.436 | 2.852 | 1.157 | −2.272 | 5.397 | 2.666 | 0.764 | 1.802 |
| Taiwan | 2.484 | 4.719 | 1.466 | 2.165 | 3.311 | 2.787 | 3.064 | 3.387 | 6.620 | 2.588 | 1.396 | 3.090 |
| Tajikistan | 7.400 | 6.700 | 6.000 | 6.900 | 7.100 | 7.600 | 7.400 | 4.390 | 9.400 | 8.000 | 8.250 | 7.195 |
| Tanzania | 6.782 | 6.732 | 6.161 | 6.867 | 6.727 | 7.028 | 6.915 | 4.535 | 4.838 | 4.680 | 5.023 | 6.026 |
| Thailand | 2.687 | 0.984 | 3.134 | 3.435 | 4.178 | 4.223 | 2.115 | −6.050 | 1.549 | 2.511 | 1.872 | 1.876 |
| Timor-Leste | 3.068 | 4.512 | 2.761 | 3.385 | −3.058 | −0.690 | 2.075 | −7.241 | 1.597 | 3.994 | 1.500 | 1.082 |
| Togo | 5.824 | 5.633 | 5.468 | 5.734 | 4.008 | 4.795 | 4.923 | 1.976 | 5.991 | 5.811 | 5.400 | 5.051 |
| Tonga | 0.312 | 2.019 | 1.172 | 6.571 | 3.322 | 0.241 | 0.706 | 0.489 | −2.667 | −1.962 | 2.558 | 1.160 |
| Trinidad and Tobago | 3.532 | 3.854 | −0.777 | −7.527 | −4.801 | −0.602 | 0.361 | −9.078 | −1.037 | 1.482 | 2.103 | −1.185 |
| Tunisia | 2.430 | 3.090 | 0.968 | 1.117 | 2.238 | 2.625 | 1.588 | −8.592 | 4.605 | 2.603 | 0.425 | 1.191 |
| Turkey | 8.486 | 4.940 | 6.084 | 3.323 | 7.502 | 3.013 | 0.819 | 1.860 | 11.439 | 5.533 | 4.517 | 2.229 |
| Turkmenistan | −1.754 | 3.605 | 2.159 | −0.466 | 2.141 | 1.740 | −3.666 | −2.116 | −0.338 | 5.315 | 1.954 | 0.779 |
| Tuvalu | 3.805 | 1.667 | 9.379 | 4.746 | 3.280 | 1.387 | 13.822 | −4.275 | 1.804 | 0.677 | 3.853 | 3.650 |
| Uganda | 3.938 | 5.745 | 8.005 | 0.167 | 6.795 | 5.568 | 7.624 | −1.142 | 5.486 | 6.300 | 4.766 | 4.841 |
| Ukraine | 0.002 | −6.575 | −9.788 | 2.417 | 2.360 | 3.488 | 3.199 | −3.753 | 3.446 | −29.079 | 5.003 | −2.662 |
| United Arab Emirates | 5.056 | 4.166 | 6.787 | 5.561 | 0.735 | 1.314 | 1.108 | −4.957 | 4.355 | 7.850 | 3.404 | 3.216 |
| United Kingdom | 1.792 | 3.196 | 2.220 | 1.921 | 2.655 | 1.404 | 1.642 | −10.360 | 8.675 | 4.345 | 0.145 | 1.603 |
| United States | 2.118 | 2.524 | 2.946 | 1.920 | 2.458 | 2.967 | 2.467 | −2.214 | 5.800 | 1.936 | 2.531 | 2.305 |
| Uruguay | 4.638 | 3.239 | 0.371 | 1.690 | 1.740 | 0.164 | 0.929 | −7.380 | 5.562 | 4.707 | 0.367 | 1.457 |
| Uzbekistan | 7.297 | 6.874 | 7.219 | 5.932 | 4.395 | 5.880 | 5.982 | 1.996 | 7.403 | 5.673 | 5.989 | 5.876 |
| Vanuatu | 0.463 | 3.137 | 0.367 | 4.689 | 6.317 | 2.900 | 3.241 | −4.992 | −1.552 | 1.915 | 2.214 | 1.700 |
| Venezuela | 1.343 | −3.894 | −6.221 | −17.040 | −15.671 | −19.655 | −27.670 | −29.995 | 1.000 | 8.000 | 4.000 | −9.618 |
| Vietnam | 5.554 | 6.422 | 6.987 | 6.690 | 6.940 | 7.465 | 7.359 | 2.867 | 2.552 | 8.124 | 5.046 | 6.001 |
| West Bank and Gaza | 4.699 | −0.158 | 3.721 | 8.865 | 1.419 | 1.227 | 1.363 | −11.318 | 7.012 | 4.083 | −6.134 | 1.344 |
| Yemen | 4.824 | −0.189 | −27.995 | −9.375 | −5.072 | 0.752 | 2.100 | −8.500 | −1.000 | 1.500 | −2.000 | −4.087 |
| Zambia | 5.057 | 4.698 | 2.920 | 3.777 | 3.504 | 4.035 | 1.441 | −2.785 | 6.235 | 5.250 | 4.330 | 3.497 |
| Zimbabwe | 1.975 | 2.394 | 1.794 | 0.756 | 5.176 | 4.987 | −6.307 | −7.782 | 8.425 | 6.485 | 5.313 | 2.111 |

